ensemble_id,symbol,log2FoldChange,pvalue,padj,regulation,source,subject_id,subject_label,property_id,property_label,reference_id,object_id
ENSG00000113196.2,HAND1,3.7032971111145896,1.4628190285594e-17,3.16047677347291e-14,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000113196
ENSG00000171540.6,OTP,2.99853815985825,3.929222791990371e-17,7.882862897045261e-14,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000171540
ENSG00000056736.5,IL17RB,1.3927570876573798,3.8013339286969e-16,7.117871070354e-13,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000056736
ENSG00000163817.11,SLC6A20,2.3553930009352597,2.4876033386725504e-15,4.36683218583099e-12,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000163817
ENSG00000197757.7,HOXC6,3.6088906889773704,4.2627883990449706e-15,7.042878691998579e-12,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000197757
ENSG00000112303.9,VNN2,2.4908910372155098,6.0322508045920706e-15,9.19868983426586e-12,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000112303
ENSG00000183943.5,PRKX,1.4191488518778,6.22263349062026e-15,9.19868983426586e-12,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000183943
ENSG00000180229.8,HERC2P3,2.06867284615301,8.091567527876358e-15,1.13633928577732e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000180229
ENSG00000166426.7,CRABP1,2.15188747205129,5.3474153851223296e-14,7.152040758187192e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000166426
ENSG00000150782.7,IL18,2.02301778504319,6.04543669049164e-14,7.71809910571994e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000150782
ENSG00000168779.14,SHOX2,2.5905791455202998,7.74422967778797e-14,9.45705125913176e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000168779
ENSG00000106809.6,OGN,3.09656172053577,8.195108507032539e-14,9.59066719320929e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000106809
ENSG00000100985.7,MMP9,2.5975367772004803,8.820895358045351e-14,9.91009951685679e-11,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000100985
ENSG00000146278.10,PNRC1,0.7875218314737942,1.1616083695786902e-13,1.25484977985987e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000146278
ENSG00000127083.7,OMD,2.07842979778362,1.42527874014864e-13,1.4826594064649899e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000127083
ENSG00000137462.6,TLR2,1.7848254947445101,2.4278255622252e-13,2.35139091607653e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000137462
ENSG00000134294.9,SLC38A2,1.31278354186586,3.02416310384612e-13,2.83132230325753e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000134294
ENSG00000240990.5,HOXA11-AS,3.27423746495265,3.96931897176625e-13,3.5963310309677e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000240990
ENSG00000096060.10,FKBP5,1.67161361767241,4.803058814729821e-13,4.2157347790411403e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000096060
ENSG00000198417.5,MT1F,1.7297085801045702,5.54961984051335e-13,4.72339916546965e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000198417
ENSG00000112175.6,BMP5,3.14897754822123,5.93003787505277e-13,4.89873452342962e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000112175
ENSG00000126778.6,SIX1,2.65990072888614,6.72932057853288e-13,5.250178530257031e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000126778
ENSG00000100906.6,NFKBIA,1.10503961351794,7.39796667907621e-13,5.61585648960037e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000100906
ENSG00000102362.11,SYTL4,1.87770322224551,8.76003527642675e-13,6.47481870549995e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000102362
ENSG00000003989.12,SLC7A2,1.9762353171752598,9.79113580503e-13,7.05137516297122e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000003989
ENSG00000172296.8,SPTLC3,2.44736455302809,1.31335966736584e-12,9.2220832443261e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000172296
ENSG00000205364.3,MT1M,1.73223048373972,1.4348370951391599e-12,9.82933402223748e-10,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000205364
ENSG00000164093.10,PITX2,3.4038331609299304,1.66498500193311e-12,1.11343889879274e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000164093
ENSG00000096696.9,DSP,2.3493069573753704,1.969496816884e-12,1.28644783943769e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000096696
ENSG00000115590.9,IL1R2,3.03754943523116,3.34580929619785e-12,2.1168711985743e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000115590
ENSG00000124107.5,SLPI,2.7184750592702995,3.39157631416113e-12,2.1168711985743e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000124107
ENSG00000162909.13,CAPN2,0.881802813470483,3.6321193729183795e-12,2.21772471363388e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000162909
ENSG00000198743.5,SLC5A3,1.22069960288672,7.37460817844917e-12,4.40703446612983e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000198743
ENSG00000163884.3,KLF15,1.2381026518299498,1.3976390578822698e-11,8.17822671223734e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000163884
ENSG00000163221.7,S100A12,2.96150615578327,1.4815455122133803e-11,8.492279347252511e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000163221
ENSG00000168209.4,DDIT4,1.5086034821900298,1.58373951250364e-11,8.89649833753793e-09,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000168209
ENSG00000142494.9,SLC47A1,1.80495376365473,2.37216636316723e-11,1.26910839778949e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000142494
ENSG00000205929.5,C21orf62,1.8644062133104802,2.4712978366218498e-11,1.26910839778949e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000205929
ENSG00000243836.1,WDR86-AS1,2.5055898194229402,2.48516971831887e-11,1.26910839778949e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000243836
ENSG00000128714.5,HOXD13,3.2767208782582795,2.5480977508162102e-11,1.27800752727098e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000128714
ENSG00000226673.1,RP11-359N11.2,2.9913987875834,2.74933474159815e-11,1.33138904978047e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000226673
ENSG00000168229.3,PTGDR,2.49028011308915,2.8543909969328796e-11,1.35883525306532e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000168229
ENSG00000147606.4,SLC26A7,2.3567999443596204,3.03468581897581e-11,1.42058700995956e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000147606
ENSG00000200127.1,Y_RNA,1.9344413652495,4.20040514235806e-11,1.9028512779582398e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000200127
ENSG00000111817.11,DSE,1.09671645910783,5.4659546865580706e-11,2.4368614171643902e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000111817
ENSG00000130600.10,H19,2.12126255948296,5.81264554618374e-11,2.55093399149473e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000130600
ENSG00000112499.7,SLC22A2,3.08931807933233,6.92931429601087e-11,2.9942100097239604e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000112499
ENSG00000183072.9,NKX2-5,2.8106532539096003,8.144534513338009e-11,3.46599304357764e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000183072
ENSG00000069702.6,TGFBR3,1.3761412379752702,1.0412172725836399e-10,4.30068669633186e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000069702
ENSG00000125144.9,MT1G,1.7485126509416398,1.61364646792931e-10,6.47464119210438e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000125144
ENSG00000112299.7,VNN1,2.4234883455769904,1.67873560493336e-10,6.64093618813569e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000112299
ENSG00000092607.9,TBX15,1.98533260802771,1.7276002952351702e-10,6.64700130031098e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000092607
ENSG00000138772.8,ANXA3,1.2440619933506,1.72140454741863e-10,6.64700130031098e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000138772
ENSG00000131668.9,BARX1,2.27994176047838,1.7844624371212198e-10,6.77299952316538e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000131668
ENSG00000112312.5,GMNN,1.04418134192403,1.8991009901310598e-10,7.11200660130814e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000112312
ENSG00000115648.9,MLPH,2.11991523335552,1.99527549630644e-10,7.37385564009987e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000115648
ENSG00000111087.5,GLI1,1.6440894378906203,2.2010317073057802e-10,7.92568943116634e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000111087
ENSG00000108950.7,FAM20A,2.0561562215935503,2.46860865510094e-10,8.6669764119775e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000108950
ENSG00000165474.5,GJB2,2.21200246648096,2.59331551765335e-10,8.99240159806538e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000165474
ENSG00000169715.10,MT1E,1.3758698984378401,2.76237618559475e-10,9.461812185951179e-08,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000169715
ENSG00000180447.5,GAS1,1.57661728700604,3.2302042121146603e-10,1.0930933217549901e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000180447
ENSG00000106511.5,MEOX2,1.5863899168414899,3.28618608584742e-10,1.0987989118237698e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000106511
ENSG00000113916.13,BCL6,1.05048138986607,4.72439676117682e-10,1.50788786171788e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000113916
ENSG00000163464.7,CXCR1,2.6267361055546603,5.04366984924239e-10,1.59170286579406e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000163464
ENSG00000164761.4,TNFRSF11B,2.17659742594214,5.63066038685958e-10,1.70051998156693e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000164761
ENSG00000167644.7,C19orf33,2.30783659349457,5.60674834743971e-10,1.70051998156693e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000167644
ENSG00000128585.13,MKLN1,0.689564926786531,5.95822700262724e-10,1.7615654928714897e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000128585
ENSG00000124491.11,F13A1,1.93994891366774,6.02499749974513e-10,1.7627510914098102e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000124491
ENSG00000000971.11,CFH,1.7527150253110502,6.71126086590275e-10,1.90403216101627e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000000971
ENSG00000110077.10,MS4A6A,2.050830778077,6.70399239818524e-10,1.90403216101627e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000110077
ENSG00000152049.5,KCNE4,1.9559617437655101,6.645677335588371e-10,1.90403216101627e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000152049
ENSG00000126804.9,ZBTB1,0.655641614641978,7.082891124285531e-10,1.9893716300780801e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000126804
ENSG00000187554.7,TLR5,1.3179070799961898,7.67232678616439e-10,2.1335905192376198e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000187554
ENSG00000165029.11,ABCA1,1.21561927783623,9.58311122449817e-10,2.63883181335765e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000165029
ENSG00000144909.7,OSBPL11,0.8285913493872479,1.02787152818681e-09,2.7946239802239296e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000144909
ENSG00000173068.13,BNC2,1.98766839300488,1.0347879586402602e-09,2.7946239802239296e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000173068
ENSG00000101916.11,TLR8,2.27802162967137,1.09093611010339e-09,2.91820214518798e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000101916
ENSG00000257894.1,RP1-78O14.1,2.65295178149383,1.36219927197932e-09,3.60944254264934e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000257894
ENSG00000080546.9,SESN1,0.60785788155579,1.4045582507807098e-09,3.68689977473623e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000080546
ENSG00000169413.2,RNASE6,1.65945074959288,1.5993454731936901e-09,4.08371057323557e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000169413
ENSG00000175895.3,PLEKHF2,0.821858506905928,1.5936068393941502e-09,4.08371057323557e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000175895
ENSG00000145390.7,USP53,1.01599484134762,1.6255005272196802e-09,4.1131020998215605e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000145390
ENSG00000183748.4,MRC1L1,2.06082706449637,1.68886615768972e-09,4.2128612861093e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000183748
ENSG00000137198.5,GMPR,1.3854573661121599,1.88291516229429e-09,4.5987337533356297e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000137198
ENSG00000184302.6,SIX6,2.78930164210001,1.9138629882672197e-09,4.63402325443633e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000184302
ENSG00000116962.10,NID1,1.50066341983778,1.93357418859438e-09,4.6407207671808606e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000116962
ENSG00000236753.1,AC018642.1,0.7642694651021609,1.94967440640631e-09,4.6407207671808606e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000236753
ENSG00000214353.3,VAC14-AS1,1.27323886961151,2.0399231219245e-09,4.7952052528049e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000214353
ENSG00000187193.8,MT1X,1.5140125111801002,2.15780665991726e-09,4.96773079156525e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000187193
ENSG00000057294.9,PKP2,1.53627729883132,2.18369147652254e-09,4.98645060984461e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000057294
ENSG00000168079.12,SCARA5,2.05259915616919,2.2196557950202396e-09,5.027699380220451e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000168079
ENSG00000165030.3,NFIL3,0.9589117181633019,2.29655229936708e-09,5.16026115458584e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000165030
ENSG00000103995.9,CEP152,0.846980605686729,2.42955206058201e-09,5.41578005758468e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000103995
ENSG00000069869.11,NEDD4,1.0650759135794299,2.5840510732402997e-09,5.622744082699471e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000069869
ENSG00000145685.9,LHFPL2,0.950725497502087,2.6013277251743803e-09,5.622744082699471e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000145685
ENSG00000203952.5,CCDC160,0.992963830630381,2.58668437367085e-09,5.622744082699471e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000203952
ENSG00000270164.1,AC006129.4,1.6735741207111698,2.60656701041977e-09,5.622744082699471e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000270164
ENSG00000164707.10,SLC13A4,2.0476034136822303,2.6880667488009603e-09,5.7196765737555e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000164707
ENSG00000187134.8,AKR1C1,1.03540828994747,2.77009244292046e-09,5.84989371761706e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000187134
ENSG00000182885.12,GPR97,2.0420691115339697,2.85106068482857e-09,5.97595085483433e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000182885
ENSG00000259040.2,BLOC1S5-TXNDC5,1.90247381723248,2.99646314772739e-09,6.234197068905129e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000259040
ENSG00000179593.11,ALOX15B,1.5015478895185301,3.10520092672823e-09,6.41292488448646e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000179593
ENSG00000127993.10,RBM48,0.7808862493040172,3.2422325553516702e-09,6.598883027692921e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000127993
ENSG00000166527.3,CLEC4D,2.6714445474494104,3.23871079083356e-09,6.598883027692921e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000166527
ENSG00000155324.5,GRAMD3,1.1121608700610401,3.7233474557245597e-09,7.469832856352541e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000155324
ENSG00000119950.16,MXI1,0.610427667966126,3.84424047197295e-09,7.65767249193646e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000119950
ENSG00000260645.1,RP11-250B2.5,0.896573591223184,4.25158176894224e-09,8.235460492709021e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000260645
ENSG00000148498.11,PARD3,1.15994037892313,4.3899600348658006e-09,8.340414516572021e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000148498
ENSG00000166535.15,A2ML1,1.29100946080763,4.51333897278324e-09,8.42127635390822e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000166535
ENSG00000170545.12,SMAGP,1.14406406077693,4.925813688256111e-09,9.10206112250325e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000170545
ENSG00000143226.8,FCGR2A,1.67744873612483,5.324033703472979e-09,9.77360357055201e-07,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000143226
ENSG00000067048.12,DDX3Y,0.714764204984622,5.649013524776271e-09,1.03028469396358e-06,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000067048
ENSG00000255986.2,MT1JP,2.16227391069414,5.84773105913593e-09,1.05285398883302e-06,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000255986
ENSG00000123094.11,RASSF8,0.8738229402828409,6.516048198137839e-09,1.14717675829844e-06,Upregulated,Chow,ensembl:ENSG00000197386,HTT,RO:0002434,interacts with,PMID:26636579,ensembl:ENSG00000123094
