FlyBase ID,Symbol,log2FoldChange,pvalue,padj,Regulation
FBgn0034741,CG4269,0.980131141194769,3.2e-15,6.03e-13,Upregulated
FBgn0052368,CG32368,1.02007143703065,2.7e-08,1.92e-06,Upregulated
FBgn0028396,TotA,1.0375820679303198,8.83e-07,4.56e-05,Upregulated
FBgn0004428,LysE,1.05243611466556,6.68e-07,3.53e-05,Upregulated
FBgn0034187,CG6967,1.08361182168406,2.81e-07,1.6e-05,Upregulated
FBgn0266099,CG44836,1.0898546192159302,2.35e-07,1.3699999999999998e-05,Upregulated
FBgn0032507,CG9377,1.09570225205176,1.3e-17,3.16e-15,Upregulated
FBgn0265455,CG44355,1.13187913231359,1e-07,6.33e-06,Upregulated
FBgn0001225,Hsp26,1.13266044742049,1.06e-08,8.06e-07,Upregulated
FBgn0042207,CG18530,1.14921497644407,4.03e-08,2.75e-06,Upregulated
FBgn0036876,CG9451,1.15662028915547,7.55e-23,2.77e-20,Upregulated
FBgn0036323,CG14118,1.20091620553891,6.34e-11,6.73e-09,Upregulated
FBgn0039470,CG6296,1.21597279790285,7.4e-12,9.04e-10,Upregulated
FBgn0032536,Ance-3,1.22593837336347,1.09e-21,3.6e-19,Upregulated
FBgn0004427,LysD,1.25438143660791,6.53e-14,1.05e-11,Upregulated
FBgn0051380,CG31380,1.26283819498988,1.63e-13,2.54e-11,Upregulated
FBgn0034317,CG14499,1.32468127779181,5.1000000000000005e-11,5.45e-09,Upregulated
FBgn0266227,CR44922,1.35000236964816,3.5e-15,6.500000000000001e-13,Upregulated
FBgn0039203,CG13618,1.35015132445463,4.92e-17,1.15e-14,Upregulated
FBgn0033446,CG1648,1.36618733652625,4.24e-43,6.389999999999998e-40,Upregulated
FBgn0033327,PGRP-SC1b,1.37419653409732,4.08e-11,4.4e-09,Upregulated
FBgn0031248,CG11912,1.56774956106092,1.7899999999999994e-34,1.6199999999999998e-31,Upregulated
FBgn0001224,Hsp23,1.80549934722662,9.32e-38,1.1499999999999998e-34,Upregulated
FBgn0051041,CG31041,2.1114342448687498,2.73e-25,1.24e-22,Upregulated
FBgn0004034,y,2.14812718027226,1.0299999999999999e-47,2e-44,Upregulated
FBgn0013278,Hsp70Bb,2.8880545899430903,6.119999999999999e-52,1.6599999999999994e-48,Upregulated
FBgn0035886,Jon66Ci,3.41471678635655,5.3899999999999976e-71,1.8299999999999997e-67,Upregulated
FBgn0030880,CG6788,-4.20928289177883,2.1099999999999984e-108,2.859999999999999e-104,Downregulated
FBgn0033050,Pngl,-2.59649394723689,4.839999999999998e-74,2.1899999999999998e-70,Downregulated
FBgn0052475,mthl8,-2.2043126194540497,2.36e-25,1.1e-22,Downregulated
FBgn0036777,CG7341,-2.0921706341215502,1.24e-29,8.89e-27,Downregulated
FBgn0050008,CG30008,-1.9950862970413,7.12e-85,4.829999999999997e-81,Downregulated
FBgn0262854,CG43218,-1.93572593332424,1.4199999999999996e-27,8.02e-25,Downregulated
FBgn0037323,CG2663,-1.8144367699637904,6.16e-35,5.969999999999998e-32,Downregulated
FBgn0264831,CR44039,-1.78294069216203,4.51e-17,1.07e-14,Downregulated
FBgn0261054,Sfp24Bc,-1.76728626280294,4.7e-36,5.32e-33,Downregulated
FBgn0259951,Sfp24Ba,-1.67695663363879,4.56e-50,1.0299999999999998e-46,Downregulated
FBgn0038009,CG17738,-1.67260210362934,2.0099999999999999e-16,4.41e-14,Downregulated
FBgn0263412,CR43458,-1.60734584643808,1.23e-14,2.15e-12,Downregulated
FBgn0266949,CR45400,-1.58059156928588,2.58e-14,4.2199999999999986e-12,Downregulated
FBgn0051779,Acp24A4,-1.5680893089961498,6.96e-44,1.18e-40,Downregulated
FBgn0039184,CG6432,-1.54904319587996,8.35e-39,1.1299999999999999e-35,Downregulated
FBgn0032265,CG18301,-1.5476788492172,8.23e-28,5.079999999999999e-25,Downregulated
FBgn0031464,Duox,-1.52164500735309,4.54e-32,3.85e-29,Downregulated
FBgn0032055,CG13091,-1.4873597563189798,1.4499999999999996e-29,9.83e-27,Downregulated
FBgn0040256,Ugt86Dd,-1.44596682071245,5.770000000000001e-23,2.18e-20,Downregulated
FBgn0005626,ple,-1.39921055604965,4.34e-30,3.27e-27,Downregulated
FBgn0267678,CR46014,-1.38036955543968,2.34e-11,2.65e-09,Downregulated
FBgn0263659,CR43650,-1.37806955611633,7.09e-19,1.85e-16,Downregulated
FBgn0038398,sxe2,-1.34793169648831,1.95e-27,1.06e-24,Downregulated
FBgn0032538,CG16885,-1.29780038919725,6.849999999999998e-27,3.58e-24,Downregulated
FBgn0043792,CG30427,-1.2458344393889,1.7600000000000002e-22,6.27e-20,Downregulated
FBgn0038007,Cyp313a3,-1.2407737692733798,3.87e-09,3.19e-07,Downregulated
FBgn0262896,CG43251,-1.23089215646901,2.68e-16,5.5999999999999995e-14,Downregulated
FBgn0030558,CG1461,-1.22054894399057,1.56e-23,6.430000000000001e-21,Downregulated
FBgn0029823,CG3011,-1.2138523276126798,2.31e-35,2.4199999999999998e-32,Downregulated
FBgn0016675,Lectin-galC1,-1.21174541325586,1.09e-30,8.67e-28,Downregulated
FBgn0024294,Spn43Aa,-1.1825295957126298,9.86e-10,8.75e-08,Downregulated
FBgn0038714,Cpr92A,-1.1594058250236,2.53e-10,2.35e-08,Downregulated
FBgn0031925,Cyp4d21,-1.15389568222633,6.19e-17,1.42e-14,Downregulated
FBgn0036023,CG18179,-1.15238943543499,5.72e-08,3.79e-06,Downregulated
FBgn0004577,Pxd,-1.14927125049484,7.0200000000000005e-15,1.29e-12,Downregulated
FBgn0028544,CG16884,-1.14039944709561,1.69e-23,6.759999999999998e-21,Downregulated
FBgn0032067,LManIV,-1.13717398452061,4.26e-08,2.89e-06,Downregulated
FBgn0034563,CG15649,-1.13619873598965,3.27e-11,3.61e-09,Downregulated
FBgn0036549,CG10516,-1.1250595196592,3.23e-22,1.1199999999999999e-19,Downregulated
FBgn0036553,CG17027,-1.12453140234506,1.33e-21,4.21e-19,Downregulated
FBgn0250843,Prosalpha6,-1.11535702757515,1.12e-21,3.62e-19,Downregulated
FBgn0036597,CG4962,-1.11378192675281,2.11e-19,5.729999999999999e-17,Downregulated
FBgn0036969,Spn77Bb,-1.1027091185182,3.91e-20,1.13e-17,Downregulated
FBgn0038983,CG5326,-1.10057943913935,4.24e-23,1.64e-20,Downregulated
FBgn0030592,CG9514,-1.09765835135414,8.55e-17,1.93e-14,Downregulated
FBgn0259975,Sfp87B,-1.09246803608423,4.04e-25,1.7699999999999999e-22,Downregulated
FBgn0039827,CG1544,-1.09130929360777,2.39e-13,3.65e-11,Downregulated
FBgn0052072,Elo68alpha,-1.08821125123966,5.679999999999999e-19,1.51e-16,Downregulated
FBgn0032726,CG10621,-1.08655819268208,5.249999999999999e-26,2.55e-23,Downregulated
FBgn0259968,Sfp60F,-1.0835548656189902,2.22e-29,1.44e-26,Downregulated
FBgn0039755,CG15531,-1.06884221525171,1.44e-21,4.439999999999999e-19,Downregulated
FBgn0032713,CG17323,-1.06395270065228,1.61e-19,4.46e-17,Downregulated
FBgn0034045,CG8249,-1.057196491661,1.85e-15,3.5799999999999994e-13,Downregulated
FBgn0267692,CR46028,-1.05284291668575,5.19e-07,2.81e-05,Downregulated
FBgn0037801,CG3999,-1.04560827756478,1.15e-10,1.15e-08,Downregulated
FBgn0031542,CG15414,-1.04377190389428,1.69e-07,1.01e-05,Downregulated
FBgn0041711,yellow-e,-1.03865415721,1.43e-19,4.06e-17,Downregulated
FBgn0038986,CG5278,-1.03748756495452,5.489999999999999e-13,7.84e-11,Downregulated
FBgn0038326,CG5044,-1.03194374806167,3.3099999999999997e-18,8.480000000000001e-16,Downregulated
FBgn0038449,CG17562,-1.03069769606025,3.52e-20,1.0400000000000002e-17,Downregulated
FBgn0031940,CG7214,-1.02664980235165,7.52e-22,2.5500000000000004e-19,Downregulated
FBgn0043865,SA-2,-1.02255002230101,2.32e-10,2.17e-08,Downregulated
FBgn0051148,Gba1a,-1.01771605604226,3.2900000000000007e-12,4.34e-10,Downregulated
FBgn0039241,CG11089,-1.01604004032594,1.93e-14,3.28e-12,Downregulated
FBgn0003357,Jon99Ciii,-1.014583997069,1.63e-06,7.72e-05,Downregulated
FBgn0029898,CG14439,-1.01356658627326,1.31e-15,2.57e-13,Downregulated
FBgn0039030,CG6660,-1.0093695848072,1.2e-14,2.15e-12,Downregulated
FBgn0030589,CG9519,-0.997621689907858,3.21e-13,4.8e-11,Downregulated
FBgn0011694,EbpII,-0.994814640931853,4.0800000000000005e-26,2.0499999999999999e-23,Downregulated
FBgn0051104,CG31104,-0.985208048565119,2.22e-16,4.79e-14,Downregulated
FBgn0037763,CG16904,-0.9844750964824328,1.0400000000000002e-27,6.13e-25,Downregulated
FBgn0039495,CG5909,-0.979363992667598,8.92e-09,6.92e-07,Downregulated
FBgn0259164,CG42269,-0.976189051769511,5.95e-10,5.42e-08,Downregulated
FBgn0266951,CR45402,-0.9742089877818207,3.58e-06,0.00015148023395700002,Downregulated
FBgn0259952,Sfp24Bb,-0.9714647734311692,1.64e-20,4.95e-18,Downregulated
FBgn0036992,CG11796,-0.966920161565692,5.04e-06,0.000208015994526,Downregulated
FBgn0265541,CR44391,-0.965839902321147,3.5e-12,4.56e-10,Downregulated
FBgn0033308,CG8736,-0.9650715755411692,1.34e-06,6.47e-05,Downregulated
FBgn0039475,CG6277,-0.9602632487639812,7.95e-16,1.59e-13,Downregulated
FBgn0004181,Ebp,-0.958130397263354,6.970000000000001e-25,2.96e-22,Downregulated
FBgn0032076,CG9510,-0.9564666527960451,6.98e-18,1.7600000000000006e-15,Downregulated
FBgn0032835,CG16772,-0.950346764584043,2.76e-16,5.67e-14,Downregulated
FBgn0035476,CG12766,-0.9478570846617852,5.27e-08,3.54e-06,Downregulated
FBgn0031373,CG15358,-0.944492319893,1.81e-10,1.72e-08,Downregulated
FBgn0005664,Crys,-0.940998274270476,3.68e-06,0.000154963109095,Downregulated
FBgn0036665,CG13024,-0.933771451817453,4.7100000000000005e-09,3.81e-07,Downregulated
FBgn0032066,LManIII,-0.9306246830083448,2.28e-14,3.82e-12,Downregulated
FBgn0027562,CG10345,-0.928358208222308,7.820000000000001e-11,8.23e-09,Downregulated
FBgn0033520,Prx2540-1,-0.924753817020172,2.28e-09,1.96e-07,Downregulated
FBgn0036780,CG7330,-0.9175574205217928,7.65e-08,4.92e-06,Downregulated
FBgn0035844,CG13676,-0.917101189902316,3.4900000000000004e-11,3.8200000000000005e-09,Downregulated
FBgn0010424,TpnC73F,-0.916148161907596,1.17e-13,1.87e-11,Downregulated
FBgn0035546,CG11345,-0.915475821367405,1.64e-05,0.0005998573717359999,Downregulated
FBgn0266702,CR45192,-0.9127042036577272,1.26e-06,6.21e-05,Downregulated
FBgn0036321,CG14120,-0.570115626928173,1.39e-07,8.48e-06,Downregulated
FBgn0036759,CG5577,-0.570685141410874,8.01e-06,0.000314367605412,Downregulated
FBgn0039311,CG10513,-0.570819316797973,9.7e-08,6.15e-06,Downregulated
FBgn0028583,lcs,-0.572805415096382,1.83e-05,0.000652055286544,Downregulated
FBgn0010423,TpnC47D,-0.574593561879618,1.94e-06,8.89e-05,Downregulated
FBgn0033541,CG12934,-0.574686564401788,0.000223494769209,0.005577509166885999,Downregulated
FBgn0034247,CG6484,-0.575272728446884,3.09e-08,2.18e-06,Downregulated
FBgn0034974,CG16786,-0.5760513449914749,4.23e-06,0.00017630260358099994,Downregulated
FBgn0054026,CG34026,-0.576061493422448,2.39e-07,1.4e-05,Downregulated
FBgn0035355,CG16985,-0.5764369575877379,6.25e-05,0.001886589230427,Downregulated
FBgn0262537,CG43091,-0.5781220103302479,7.63e-05,0.002208723228229,Downregulated
FBgn0035484,CG11594,-0.5787653464502779,2.82e-07,1.6e-05,Downregulated
FBgn0040900,CG17777,-0.5791429611100369,0.000284104373262,0.006814489348782,Downregulated
FBgn0038577,CG12321,-0.579159754928434,2.09e-07,1.23e-05,Downregulated
FBgn0036587,CG4950,-0.5808294193426939,1.22e-06,6.08e-05,Downregulated
FBgn0036717,CG13731,-0.5813088245506329,0.000114552205774,0.00315448427096,Downregulated
FBgn0052195,CG32195,-0.582551554913513,6.5000000000000004e-06,0.000262663296748,Downregulated
FBgn0036881,Cpr76Bd,-0.583895430258412,2.95e-06,0.000127290443568,Downregulated
FBgn0039801,Npc2h,-0.583934383826343,7.25e-06,0.000286802934811,Downregulated
FBgn0032283,CG7296,-0.9113431258103348,2.09e-11,2.39e-09,Downregulated
FBgn0034276,Sardh,-0.904573798014448,2.54e-07,1.46e-05,Downregulated
FBgn0267179,CR45619,-0.901737980923627,1.9e-05,0.0006760070519939999,Downregulated
FBgn0032266,CG18302,-0.901495672185036,2.57e-13,3.87e-11,Downregulated
FBgn0003356,Jon99Cii,-0.900570465164874,2.25e-05,0.000790564183625,Downregulated
FBgn0036972,CR6434,-0.899979332459182,1.73e-05,0.000626209042548,Downregulated
FBgn0032281,CG17107,-0.898714003525639,2.35e-05,0.0008140297915560001,Downregulated
FBgn0085313,CG34284,-0.887704117507972,9.790000000000002e-13,1.36e-10,Downregulated
FBgn0040609,CG3348,-0.885537515349797,3.460000000000001e-09,2.88e-07,Downregulated
FBgn0051077,CG31077,-0.885433341378876,3.77e-11,4.09e-09,Downregulated
FBgn0036824,CG3902,-0.8843153425183609,1.02e-16,2.26e-14,Downregulated
FBgn0000052,ade2,-0.8788747643229158,5.8600000000000005e-12,7.290000000000001e-10,Downregulated
FBgn0039161,CG13606,-0.8786934663823008,5.29e-08,3.54e-06,Downregulated
FBgn0038629,CG14304,-0.878159005416779,5.52e-08,3.67e-06,Downregulated
FBgn0039805,Cpr100A,-0.8780231269336278,5.75e-13,8.13e-11,Downregulated
FBgn0037635,CG9837,-0.8760446175399309,8.210000000000001e-08,5.26e-06,Downregulated
FBgn0085345,CG34316,-0.8759957287917629,3.2500000000000004e-05,0.001078810413618,Downregulated
FBgn0038819,Cpr92F,-0.869344926302483,1.14e-10,1.14e-08,Downregulated
FBgn0000053,ade3,-0.8682276699061658,3.4200000000000016e-13,5.05e-11,Downregulated
FBgn0033521,CG12896,-0.867653315912529,5.820000000000001e-09,4.64e-07,Downregulated
FBgn0035087,CG2765,-0.866805067874439,7.95e-18,1.9600000000000007e-15,Downregulated
FBgn0034382,CG18609,-0.8566269364240869,3.76e-13,5.5e-11,Downregulated
FBgn0032394,CG6746,-0.853562113456963,2.43e-16,5.15e-14,Downregulated
FBgn0038290,CG6912,-0.8455010271359229,1.24e-14,2.15e-12,Downregulated
FBgn0267472,CR45822,-0.844897879771996,2.36e-06,0.000105499667646,Downregulated
FBgn0032084,CG13101,-0.8445719541958109,1.87e-08,1.36e-06,Downregulated
FBgn0039872,salt,-0.843100897751241,1.67e-13,2.5800000000000004e-11,Downregulated
FBgn0039480,Cpr97Ea,-0.839919835938664,1.38e-08,1.03e-06,Downregulated
FBgn0040349,CG3699,-0.8378305070633181,4.979999999999999e-10,4.5700000000000006e-08,Downregulated
FBgn0266766,CR45231,-0.8369595518612399,1.6e-05,0.0005863359174380001,Downregulated
FBgn0267106,CG45546,-0.829026172391087,2.3e-05,0.0008023505297769999,Downregulated
FBgn0014454,Acp1,-0.8253354213327729,4.020000000000001e-09,3.28e-07,Downregulated
FBgn0031432,Cyp309a1,-0.823746915240721,6.08e-09,4.82e-07,Downregulated
FBgn0036590,CG13065,-0.8220274135919051,3.37e-05,0.001109603624829,Downregulated
FBgn0038511,cysu,-0.8219849138003409,6.24e-06,0.000252721931133,Downregulated
FBgn0034856,yellow-d2,-0.8202383659566009,7.240000000000002e-07,3.77e-05,Downregulated
FBgn0035281,Cpr62Bc,-0.8189130464601829,1.08e-10,1.09e-08,Downregulated
FBgn0039768,CG15533,-0.8172692327562628,1.08e-10,1.09e-08,Downregulated
FBgn0033518,Prx2540-2,-0.802673886380885,1.28e-09,1.12e-07,Downregulated
FBgn0028693,Rpn12,-0.794504074075517,1.3800000000000003e-11,1.61e-09,Downregulated
FBgn0039685,Obp99b,-0.7938243338521149,0.000144688225584,0.003854635195749,Downregulated
FBgn0023197,Jon74E,-0.791990483171225,4.8e-12,6.14e-10,Downregulated
FBgn0036781,CG13699,-0.790625581287307,0.000165395945998,0.004276981643554,Downregulated
FBgn0050016,CG30016,-0.7889343052068001,1.13e-06,5.6600000000000014e-05,Downregulated
FBgn0036910,Cyp305a1,-0.788825159023264,4.25e-12,5.5e-10,Downregulated
FBgn0265426,CR44338,-0.7870120600028578,0.000199589198306,0.00505526670933,Downregulated
FBgn0032287,CG6415,-0.785954621281567,3.06e-11,3.410000000000001e-09,Downregulated
FBgn0267473,CR45823,-0.781876187882311,7.58e-05,0.002204191989922,Downregulated
FBgn0032282,CG7299,-0.7814523129119879,1.05e-06,5.3e-05,Downregulated
FBgn0032596,Prosbeta4,-0.7793076105619009,5.72e-12,7.190000000000001e-10,Downregulated
FBgn0261575,tobi,-0.777714336920172,0.000116448233041,0.00319373982174,Downregulated
FBgn0053282,CG33282,-0.7754886690454009,1.05e-06,5.3e-05,Downregulated
FBgn0051832,CG31832,-0.775141891386604,0.000153404792121,0.004005045111233,Downregulated
FBgn0019643,Dat,-0.7748432942718771,1.14e-14,2.05e-12,Downregulated
FBgn0036289,CG10657,-0.7745016739303391,0.000255875348192,0.00627033163729,Downregulated
FBgn0086691,UK114,-0.773843105170937,1.34e-11,1.59e-09,Downregulated
FBgn0004782,Ccp84Ab,-0.7718121300644721,0.000238065740135,0.005897774613272,Downregulated
FBgn0040211,hgo,-0.7708424548114692,4.14e-07,2.28e-05,Downregulated
FBgn0263777,CG43694,-0.7647829719277701,0.000240649159074,0.00595091618139,Downregulated
FBgn0027341,Gfat1,-0.7636718912047371,1.25e-12,1.69e-10,Downregulated
FBgn0036778,Cyp312a1,-0.761185295563712,5.56e-12,7.059999999999999e-10,Downregulated
FBgn0039820,CG15554,-0.7575467553991891,0.000315159252387,0.0074281284902869985,Downregulated
FBgn0051313,CG31313,-0.7574136851973992,6.320000000000001e-10,5.72e-08,Downregulated
FBgn0259244,CG42342,-0.755063397813316,1.13e-08,8.51e-07,Downregulated
FBgn0085356,CG34327,-0.7549705949278951,1.4500000000000002e-10,1.39e-08,Downregulated
FBgn0037714,CG9396,-0.7528418749185021,8.670000000000001e-12,1.04e-09,Downregulated
FBgn0024289,Sodh-1,-0.751158242223856,0.000348538469491,0.008158203899673,Downregulated
FBgn0262363,CG43061,-0.7488421527164071,1.39e-08,1.03e-06,Downregulated
FBgn0004507,GlyP,-0.74597288243227,2.61e-12,3.4700000000000004e-10,Downregulated
FBgn0033097,Zip42C.2,-0.745326987259877,0.00035629964941199995,0.008325514699507,Downregulated
FBgn0039154,Npc2f,-0.7444484361234058,5.25e-07,2.8300000000000007e-05,Downregulated
FBgn0037973,CG18547,-0.73772592745359,7.47e-10,6.67e-08,Downregulated
FBgn0033307,CG14752,-0.7352647658040949,0.00046621610104,0.010393020997889,Downregulated
FBgn0012036,Aldh,-0.7337842133131851,2.77e-15,5.3e-13,Downregulated
FBgn0016013,Faa,-0.7326275153750591,1.05e-09,9.29e-08,Downregulated
FBgn0036278,CrzR,-0.7253908014568271,3.67e-08,2.53e-06,Downregulated
FBgn0266064,GlyS,-0.7223383065176651,1.24e-10,1.22e-08,Downregulated
FBgn0037684,CG8129,-0.72148543544835,1.5199999999999998e-07,9.19e-06,Downregulated
FBgn0036601,CG13063,-0.720908780589343,0.000651997570538,0.013852142437603,Downregulated
FBgn0032535,Ance-2,-0.720646071666223,0.000146737958766,0.003868407196247,Downregulated
FBgn0053301,CG33301,-0.718046836400264,2.93e-07,1.66e-05,Downregulated
FBgn0029134,Prosbeta5,-0.7164228849545258,7.13e-13,9.97e-11,Downregulated
FBgn0035147,Gale,-0.714160089656999,1.48e-12,1.99e-10,Downregulated
FBgn0002564,Lsp1gamma,-0.7130546896504081,2.22e-06,0.00010017715552299998,Downregulated
FBgn0024957,Irp-1B,-0.7125370330981559,2.54e-14,4.2e-12,Downregulated
FBgn0267158,CR45598,-0.7075831137709742,0.0001378449259,0.003698384810323,Downregulated
FBgn0028686,Rpt3,-0.707117523049282,3.59e-10,3.32e-08,Downregulated
FBgn0263330,CR43411,-0.699750270500935,0.0006808111075180001,0.01437432596527,Downregulated
FBgn0032889,CG9331,-0.699254207113671,2.69e-09,2.3e-07,Downregulated
FBgn0031417,CG3597,-0.696833976846626,6.79e-10,6.099999999999999e-08,Downregulated
FBgn0032299,CG17127,-0.694622661990571,0.001075277852109,0.021034541959986,Downregulated
FBgn0035544,CG15021,-0.692860288299967,3.81e-07,2.13e-05,Downregulated
FBgn0035398,Cht7,-0.6919092632027081,4.04e-09,3.28e-07,Downregulated
FBgn0036320,CG10943,-0.691522408019902,1.16e-05,0.000439260738477,Downregulated
FBgn0034663,CG4363,-0.686545936816739,1.06e-12,1.46e-10,Downregulated
FBgn0039476,CG6271,-0.685286843396495,0.001055009848163,0.020697707657028,Downregulated
FBgn0263406,CR43452,-0.6843699755707809,4.51e-05,0.0014272055561029998,Downregulated
FBgn0034943,Fmo-1,-0.6839391813637559,5.15e-06,0.000211772952719,Downregulated
FBgn0039728,CG7896,-0.683774882966146,1.66e-06,7.77e-05,Downregulated
FBgn0038035,lig3,-0.68196753036394,1.27e-06,6.22e-05,Downregulated
FBgn0032069,LManVI,-0.6818964967172151,1.2099999999999998e-07,7.58e-06,Downregulated
FBgn0026314,Ugt35b,-0.6815601063711071,4.64e-08,3.13e-06,Downregulated
FBgn0063667,CG32335,-0.677310669698191,0.0013745741398820002,0.02591835905978,Downregulated
FBgn0034942,CG13566,-0.6766276328836441,0.000799144665368,0.016488127624682,Downregulated
FBgn0030968,CG7322,-0.672503410967809,1.32e-07,8.12e-06,Downregulated
